year,exporter,importer,hs_code,trade_value,trade_weight,unit_price
2023,,,030781,6048.0,195.0,31.015384615384615
2023,,,030781,42276.0,1148.0,36.825783972125436
2023,,,030781,52853.0,1631.0,32.405272838749234
2023,,,030781,4529.0,288.0,15.725694444444445
2023,,,030781,6048.0,195.0,31.015384615384615
2023,,,030781,42276.0,1148.0,36.825783972125436
2023,,,030781,52853.0,1631.0,32.405272838749234
2023,,,030781,31.44,4.804,6.544546211490425
2023,,,030781,1599.656,10.97,145.82096627164995
2023,,,030781,374.203,24.051,15.558729366762297
2023,,,030781,22.739,7.0,3.2484285714285717
2023,,,030781,269.823,27.0,9.993444444444444
2023,,,030781,1680.38,21.22,79.18850141376062
2023,,,030781,114.0,21.0,5.428571428571429
2023,,,030781,18.437,8.0,2.304625
2023,,,030781,929.8,13.0,71.52307692307691
2023,,,030781,16.0,4.0,4.0
2023,,,030781,218.8,13.0,16.83076923076923
2023,,,030781,93.999,20.0,4.699949999999999
2023,,,030781,65.155,10.0,6.5155
2023,,,030781,211.0,3.0,70.33333333333333
2023,,,030781,5650.497,190.045,29.73241600673525
2023,,,030781,2.63,1.0,2.63
2023,,,030781,0.928,1.0,0.928
2023,,,030781,1.507,1.0,1.507
2023,,,030781,114.0,21.0,5.428571428571429
2023,,,030781,269.823,27.0,9.993444444444444
2023,,,030781,1680.38,21.22,79.18850141376062
2023,,,030781,22.739,7.0,3.2484285714285717
2023,,,030781,374.203,24.051,15.558729366762297
2023,,,030781,18.437,8.0,2.304625
2023,,,030781,31.44,4.804,6.544546211490425
2023,,,030781,1599.656,10.97,145.82096627164995
2023,,,030781,16.0,4.0,4.0
2023,,,030781,218.8,13.0,16.83076923076923
2023,,,030781,929.8,13.0,71.52307692307691
2023,,,030781,211.0,3.0,70.33333333333333
2023,,,030781,93.999,20.0,4.699949999999999
2023,,,030781,65.155,10.0,6.5155
2023,,,030781,5650.497,190.045,29.73241600673525
2023,,,030781,2.63,1.0,2.63
2023,,,030781,0.928,1.0,0.928
2023,,,030781,17488.496,400.0,43.721239999999995
2023,,,030781,30104.419,2330.0,12.920351502145923
2023,,,030781,7846.927,722.0,10.868319944598337
2023,,,030781,7846.927,722.0,10.868319944598337
2023,,,030781,11313.007,409.0,27.66016381418093
2023,,,030781,16774.346,549.0,30.554364298724956
2023,,,030781,11313.007,409.0,27.66016381418093
2023,,,030781,523.347,20.0,26.16735
2023,,,030781,523.347,20.0,26.16735
2023,,,030781,68154.982,2731.0,24.956053460270965
2023,,,030781,12821.99,440.0,29.140886363636362
2023,,,030781,87295.141,23221.0,3.7593187631884932
2023,,,030781,1602.44,38.0,42.16947368421053
2023,,,030781,84638.464,23166.0,3.6535640162306833
2023,,,030781,716.881,13.0,55.1446923076923
2023,,,030781,337.356,4.0,84.339
2023,,,030781,115989.847,9296.0,12.477393179862306
2023,,,030781,26826.274,1291.0,20.779453137103022
2023,,,030781,69235.792,7365.0,9.400650644942294
2023,,,030781,19927.781,640.0,31.1371578125
2023,,,030781,8153.847,198.0,41.181045454545455
2023,,,030781,8153.847,198.0,41.181045454545455
2023,,,030781,8153.847,198.0,41.181045454545455
2023,,,030781,8153.847,198.0,41.181045454545455
2023,,,030781,8153.847,198.0,41.181045454545455
2023,,,030781,8153.847,198.0,41.181045454545455
